,Customer ID,Food ID,First Name,Last Name,Gender,Food Item,Price
137,331,5,Eric,Elliott,Male,Pizza,2.49
220,332,7,Terry,Thompson,Male,Steak,24.99
243,338,10,Chris,Elliott,Male,Drink,1.75
59,341,1,Rachel,Robinson,Female,Sushi,3.99
169,343,3,Joe,Price,Male,Taco,2.99
49,346,4,Howard,Martinez,Male,Quesadilla,4.25
189,348,6,Melissa,Ross,Female,Pasta,13.99
25,348,9,Melissa,Ross,Female,Donut,0.99
236,351,10,Betty,Kennedy,Female,Drink,1.75
181,352,6,Billy,Long,Male,Pasta,13.99
162,357,3,Brandon,Weaver,Male,Taco,2.99
233,358,10,Antonio,Bowman,Male,Drink,1.75
17,363,9,Barbara,Howard,Female,Donut,0.99
196,368,6,Jason,Barnes,Male,Pasta,13.99
48,374,4,Bobby,Ray,Male,Quesadilla,4.25
214,380,7,Martha,Payne,Female,Steak,24.99
14,380,9,Martha,Payne,Female,Donut,0.99
138,385,5,Doris,West,Female,Pizza,2.49
195,386,6,Kevin,Vasquez,Male,Pasta,13.99
213,393,7,Mary,Carroll,Female,Steak,24.99
198,396,6,Juan,Romero,Male,Pasta,13.99
92,399,2,Gregory,Cruz,Male,Burrito,9.99
103,406,2,Phyllis,Reed,Female,Burrito,9.99
218,410,7,Jeffrey,Johnson,Male,Steak,24.99
34,413,9,Diane,Bailey,Female,Donut,0.99
216,418,7,Marie,Kelley,Female,Steak,24.99
202,419,7,Ruby,Nguyen,Female,Steak,24.99
223,427,7,Rachel,Reyes,Female,Steak,24.99
209,433,7,Mildred,Wilson,Female,Steak,24.99
231,450,10,Matthew,Payne,Male,Drink,1.75
183,459,6,James,Williamson,Male,Pasta,13.99
154,462,3,Anne,Lopez,Female,Taco,2.99
117,472,8,Jane,Gonzales,Female,Salad,11.25
245,475,10,Jose,Taylor,Male,Drink,1.75
9,477,9,Bruce,Matthews,Male,Donut,0.99
185,479,6,Juan,Campbell,Male,Pasta,13.99
166,482,3,Cheryl,Hunt,Female,Taco,2.99
188,483,6,Gregory,Nichols,Male,Pasta,13.99
43,491,4,Anna,Perkins,Female,Quesadilla,4.25
12,491,9,Anna,Perkins,Female,Donut,0.99
27,493,9,Jane,Weaver,Female,Donut,0.99
190,501,6,Michelle,Nguyen,Female,Pasta,13.99
129,503,5,Justin,Daniels,Male,Pizza,2.49
65,504,1,Keith,Jones,Male,Sushi,3.99
132,504,5,Keith,Jones,Male,Pizza,2.49
31,506,9,Mildred,Mendoza,Female,Donut,0.99
131,514,5,Jack,Hill,Male,Pizza,2.49
215,515,7,Michael,Stanley,Male,Steak,24.99
227,519,10,Lillian,Rogers,Female,Drink,1.75
126,520,8,Melissa,Wallace,Female,Salad,11.25
39,524,4,Shirley,Rodriguez,Female,Quesadilla,4.25
158,527,3,Daniel,Scott,Male,Taco,2.99
221,529,7,Kathy,Rogers,Female,Steak,24.99
249,535,10,Nancy,Cox,Female,Drink,1.75
0,537,9,Cheryl,Carroll,Female,Donut,0.99
191,539,6,Martha,Franklin,Female,Pasta,13.99
160,540,3,Jessica,Hicks,Female,Taco,2.99
172,549,6,Harold,Rivera,Male,Pasta,13.99
171,550,6,Walter,Miller,Male,Pasta,13.99
22,555,9,Marie,Ross,Female,Donut,0.99
96,567,2,Sandra,Murray,Female,Burrito,9.99
242,574,10,Lisa,Stone,Female,Drink,1.75
145,578,5,Donald,Matthews,Male,Pizza,2.49
246,584,10,Jeffrey,Simmons,Male,Drink,1.75
226,586,10,Doris,Mcdonald,Female,Drink,1.75
168,595,3,Bruce,Kennedy,Male,Taco,2.99
58,600,1,Sandra,Bailey,Female,Sushi,3.99
69,602,1,George,Coleman,Male,Sushi,3.99
225,606,7,Christina,Morgan,Female,Steak,24.99
186,608,6,Rose,Brooks,Female,Pasta,13.99
33,621,9,Amy,Long,Female,Donut,0.99
38,628,4,David,Gardner,Male,Quesadilla,4.25
36,641,4,Donna,Gutierrez,Female,Quesadilla,4.25
127,644,8,Louis,Brooks,Male,Salad,11.25
118,645,8,Johnny,Wilson,Male,Salad,11.25
79,646,1,Wanda,Lane,Female,Sushi,3.99
140,648,5,Patrick,Frazier,Male,Pizza,2.49
28,650,9,Susan,Fernandez,Female,Donut,0.99
56,658,1,Patrick,Webb,Male,Sushi,3.99
164,669,3,Brian,Bryant,Male,Taco,2.99
122,671,8,Martin,Hawkins,Male,Salad,11.25
222,673,7,John,Pierce,Male,Steak,24.99
234,677,10,Richard,Martin,Male,Drink,1.75
4,680,9,Irene,Gordon,Female,Donut,0.99
229,682,10,Jessica,Hawkins,Female,Drink,1.75
110,697,8,Philip,Harris,Male,Salad,11.25
71,703,1,Michael,Fernandez,Male,Sushi,3.99
128,725,8,Carol,Russell,Female,Salad,11.25
184,728,6,Ruth,Reynolds,Female,Pasta,13.99
157,737,3,Patricia,Cox,Female,Taco,2.99
20,738,9,Gloria,Barnes,Female,Donut,0.99
159,741,3,Diana,Welch,Female,Taco,2.99
53,745,4,Nicole,Garza,Female,Quesadilla,4.25
142,747,5,Janet,Hunter,Female,Pizza,2.49
13,749,9,Cheryl,Mccoy,Female,Donut,0.99
116,758,8,John,Gutierrez,Male,Salad,11.25
16,761,9,Stephanie,Olson,Female,Donut,0.99
119,762,8,Howard,Hunter,Male,Salad,11.25
30,764,9,Rebecca,Hanson,Female,Donut,0.99
208,772,7,Sarah,Ortiz,Female,Steak,24.99
232,772,10,Sarah,Ortiz,Female,Drink,1.75
139,775,5,Carolyn,Gardner,Female,Pizza,2.49
193,783,6,Phyllis,Meyer,Female,Pasta,13.99
63,798,1,Kelly,Taylor,Female,Sushi,3.99
10,798,9,Kelly,Taylor,Female,Donut,0.99
113,799,8,Kathy,Russell,Female,Salad,11.25
207,809,7,Lisa,Ellis,Female,Steak,24.99
230,809,10,Lisa,Ellis,Female,Drink,1.75
114,812,8,Joan,Carpenter,Female,Salad,11.25
217,816,7,Rebecca,Mendoza,Female,Steak,24.99
44,819,4,Kathryn,Owens,Female,Quesadilla,4.25
8,821,9,Sharon,White,Female,Donut,0.99
174,822,6,Terry,Chavez,Male,Pasta,13.99
125,828,8,Mary,Payne,Female,Salad,11.25
150,833,3,Carolyn,Dunn,Female,Taco,2.99
201,833,7,Carolyn,Dunn,Female,Steak,24.99
179,836,6,Rachel,Willis,Female,Pasta,13.99
192,848,6,Virginia,Oliver,Female,Pasta,13.99
112,864,8,Alice,Lewis,Female,Salad,11.25
21,867,9,Mark,Mason,Male,Donut,0.99
141,871,5,Stephen,Scott,Male,Pizza,2.49
91,875,2,Jesse,Sullivan,Male,Burrito,9.99
86,876,2,Irene,Ferguson,Female,Burrito,9.99
111,876,8,Irene,Ferguson,Female,Salad,11.25
135,881,5,Carl,Lawrence,Male,Pizza,2.49
206,896,7,Jeffrey,Lawson,Male,Steak,24.99
187,902,6,Kelly,Hunter,Female,Pasta,13.99
68,909,1,Cheryl,Davis,Female,Sushi,3.99
47,909,4,Cheryl,Davis,Female,Quesadilla,4.25
211,910,7,Marie,Dixon,Female,Steak,24.99
55,911,4,Patrick,Reed,Male,Quesadilla,4.25
239,912,10,Kenneth,Kelly,Male,Drink,1.75
240,919,10,Ronald,Welch,Male,Drink,1.75
88,921,2,Anthony,Jordan,Male,Burrito,9.99
67,922,1,Willie,Payne,Male,Sushi,3.99
197,926,6,Anne,Wagner,Female,Pasta,13.99
54,934,4,Joseph,Burton,Male,Quesadilla,4.25
237,937,10,Sharon,Mcdonald,Female,Drink,1.75
178,941,6,Carolyn,Garcia,Female,Pasta,13.99
147,945,5,Anne,Reed,Female,Pizza,2.49
64,953,1,Dennis,Fuller,Male,Sushi,3.99
82,954,2,Thomas,Perkins,Male,Burrito,9.99
2,961,9,Ralph,Richards,Male,Donut,0.99
72,962,1,James,Murphy,Male,Sushi,3.99
130,966,5,Robert,Ford,Male,Pizza,2.49
74,968,1,Teresa,Reynolds,Female,Sushi,3.99
143,985,5,Julia,Ortiz,Female,Pizza,2.49
104,991,2,Melissa,Wells,Female,Burrito,9.99
98,1000,2,Brian,Daniels,Male,Burrito,9.99
